Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
East Timor,TLS,1961,14.711.423,11.959.984,33.081.445,12.649.768
Eastern Africa (FAO),0,1961,43.96,178.52,264.96,1501.56
Eastern Asia (FAO),0,1961,24.92,152.88,159.12,1257.12
Eastern Europe (FAO),0,1961,144.6,233.92,65.789.996,2063.62
Ecuador,ECU,1961,721.066,12.360.572,40.920.688,13.531.815
Egypt,EGY,1961,34.110.138,2.035.404,36.030.386,15.557.148
El Salvador,SLV,1961,49.561.752,11.836.418,32.383.142,10.832.983
Eswatini,SWZ,1961,8.300.367,18.353.305,3.513.356,16.367.363
Ethiopia (former),OWID_ERE,1961,44.992.325,18.646.735,23.794.821,12.786.046
Europe,0,1961,15.849.246,20.342.537,79.933.594,18.845.403
Europe (FAO),0,1961,158.92,202.6,801.99,1877.45
European Union (27),0,1961,1.603.754,18.662.202,84.567.194,17.736.158
European Union (27) (FAO),0,1961,161.2,185.72,850.14,17.649.398
Fiji,FJI,1961,53.998.703,15.009.676,49.570.807,18.381.355
Finland,FIN,1961,21.351.024,16.877.551,10.714.425,18.123.861
France,FRA,1961,23.027.982,18.330.032,96.479.614,18.278.738
French Polynesia,PYF,1961,11.332.919,14.254.659,51.459.314,16.527.858
Gabon,GAB,1961,11.591.271,86.371.666,21.014.516,14.401.941
Gambia,GMB,1961,3.766.192,15.641.075,43.418.573,12.704.381
Germany,DEU,1961,17.943.787,13.883.543,101.981.995,15.283.745
Ghana,GHA,1961,4.764.084,11.286.203,29.462.555,14.922.344
Greece,GRC,1961,107.991.135,22.137.198,7.723.136,1675.8
Grenada,GRD,1961,62.300.068,10.045.312,40.037.744,10.938.674
Guatemala,GTM,1961,4.466.265,16.216.412,28.378.723,13.384.183
Guinea,GIN,1961,14.090.858,16.243.065,35.815.958,14.520.488
Guinea-Bissau,GNB,1961,29.374.039,10.943.701,49.652.917,11.426.919
Guyana,GUY,1961,8.415.702,13.582.552,4.127.021,16.258.549
Haiti,HTI,1961,22.878.052,14.918.396,2.304.785,1.495.027
High-income countries,0,1961,1.781.562,16.893.295,81.891.003,17.148.641
Honduras,HND,1961,5.089.515,14.715.504,2.732.327,13.493.016
Hong Kong,HKG,1961,10.867.949,15.624.922,6.369.792,16.862.695
Hungary,HUN,1961,14.843.633,19.161.853,8.008.718,17.305.498
Iceland,ISL,1961,37.172.107,11.049.654,12.492.048,15.238.864
India,IND,1961,24.521.645,18.479.674,27.858.197,15.321.204
Indonesia,IDN,1961,20.249.596,1.206.972,24.410.568,14.398.123
Iran,IRN,1961,5.416.768,15.110.362,2.546.414,13.330.334
Iraq,IRQ,1961,56.870.274,1.435.964,35.116.672,12.345.708
Ireland,IRL,1961,2.276.898,18.291.753,9.997.597,19.788.258
Israel,ISR,1961,16.363.205,22.602.444,7.608.102,19.242.112
Italy,ITA,1961,116.244.194,21.426.892,6.952.728,19.353.774
Jamaica,JAM,1961,91.945.305,114.226.654,3.797.957,1.315.493
Japan,JPN,1961,96.181.076,19.435.942,30.390.442,18.776.362
Jordan,JOR,1961,5.771.689,3.587.303,73.425.903,29.392.698
Kenya,KEN,1961,6.761.547,22.204.639,33.578.125,17.111.763
Kiribati,KIR,1961,5.688.256,86.450.226,7.380.723,8.250.716
Kuwait,KWT,1961,12.209.927,140.996,58.813.464,13.259.235
Land Locked Developing Countries (FAO),0,1961,46.6,181.96,30.563.998,1512.8
Laos,LAO,1961,21.219.015,17.570.624,16.516.667,15.889.786
Least Developed Countries (FAO),0,1961,36.08,160.76,252.45,14.857.101
Lebanon,LBN,1961,7.124.701,1.845.579,5.607.079,16.177.599
Lesotho,LSO,1961,49.804.455,24.242.114,2.529.033,17.459.216
Liberia,LBR,1961,37.072.193,11.727.078,26.182.483,15.711.061
Low Income Food Deficit Countries (FAO),0,1961,30.88,176.56,286.65,1502.95
Low-income countries,0,1961,3.909.948,17.693.372,27.905.792,15.081.068
Lower-middle-income countries,0,1961,3.175.403,16.969.287,2.834.758,14.883.511
Macao,MAC,1961,566.854,17.565.813,5.513.311,18.312.185
Madagascar,MDG,1961,7.774.418,17.571.707,30.568.872,18.801.385
Malawi,MWI,1961,122.950.535,22.271.167,34.807.452,13.740.111
Malaysia,MYS,1961,58.122.395,13.753.963,4.621.294,18.662.738
Maldives,MDV,1961,22.662.352,9.564.675,26.244.748,11.281.687
Mali,MLI,1961,54.293.133,13.558.075,2.892.307,10.835.338
Malta,MLT,1961,11.850.525,20.603.796,68.175.793,16.267.362
Mauritania,MRT,1961,18.630.098,17.207.733,52.579.297,14.174.347
Mauritius,MUS,1961,50.147.423,14.241.083,4.201.218,1.710.556
Mexico,MEX,1961,6.895.577,19.820.518,5.083.675,16.779.915
Micronesia (FAO),0,1961,80.8,122.8,1048.41,1171.99
Middle Africa (FAO),0,1961,40.16,155.44,325.71,14.966.901
Mongolia,MNG,1961,2.382.809,92.733.826,7.785.972,850.497
Morocco,MAR,1961,38.517.635,19.031.996,30.876.062,16.119.546
Mozambique,MOZ,1961,18.943.174,13.318.857,21.128.406,17.045.476
Myanmar,MMR,1961,32.958.176,11.525.469,2.515.781,10.334.741
Namibia,NAM,1961,103.121.605,15.938.095,47.171.057,15.309.331
Nepal,NPL,1961,29.527.733,14.115.605,21.828.226,12.570.177
Net Food Importing Developing Countries (FAO),0,1961,44.64,160.76,289.44,1477.16
Netherlands,NLD,1961,20.080.191,14.840.498,11.047.783,15.644.044
New Caledonia,NCL,1961,14.321.614,13.037.872,7.754.489,16.899.889
New Zealand,NZL,1961,2.482.198,13.577.324,97.209.454,15.607.445
Nicaragua,NIC,1961,7.920.656,14.380.992,2.753.579,1.396.472
Niger,NER,1961,46.639.618,12.487.996,2.342.927,11.266.323
Nigeria,NGA,1961,19.200.039,164.267,50.563.123,12.701.913
North America,0,1961,21.203.271,14.379.926,88.281.726,15.717.108
North Korea,PRK,1961,47.108.406,1.935.243,19.260.408,14.062.623
Northern Africa (FAO),0,1961,42.76,171.16,342.18,1363.9
Northern America (FAO),0,1961,250.32,129.08,98.919.006,15.044.099
Northern Europe (FAO),0,1961,215.08,147.68,1179,1634.2
Norway,NOR,1961,2.076.977,14.059.904,9.170.848,15.183.917
Oceania,0,1961,25.392.813,14.431.203,96.487.524,16.428.591
Oceania (FAO),0,1961,255.24,145.04,969.75,1650.97
Pakistan,PAK,1961,60.736.515,1.551.935,30.080.643,13.517.742
Panama,PAN,1961,84.502.075,12.893.018,37.626.807,1.527.891
Paraguay,PRY,1961,14.835.136,12.390.183,43.282.935,14.483.726
Peru,PER,1961,7.750.705,13.664.175,3.135.876,1.544.514
Philippines,PHL,1961,56.728.416,9.668.271,24.519.675,12.566.252
Poland,POL,1961,17.065.717,21.709.776,79.859.955,20.978.318
Portugal,PRT,1961,10.974.561,16.995.967,50.159.708,16.952.758
Romania,ROU,1961,9.509.628,2.543.087,5.000.639,19.770.706
Rwanda,RWA,1961,10.266.393,17.393.866,10.071.686,14.752.727
Saint Kitts and Nevis,KNA,1961,44.562.225,7.810.174,4.045.681,10.291.826
Saint Lucia,LCA,1961,67.909.424,8.195.423,31.636.142,11.892.976
Saint Vincent and the Grenadines,VCT,1961,62.014.637,97.845.314,3.529.666,12.184.154
Samoa,WSM,1961,8.243.752,9.014.447,7.015.625,10.209.982
Sao Tome and Principe,STP,1961,26.823.626,16.264.424,5.957.852,13.570.428
Saudi Arabia,SAU,1961,3.162.457,14.742.516,23.314.336,12.636.749
Senegal,SEN,1961,56.879.486,18.332.578,43.317.258,15.478.708
Sierra Leone,SLE,1961,25.021.759,12.062.059,50.685.892,10.455.375
Small Island Developing States (FAO),0,1961,66.44,122.8,38.430.002,1431.46
Solomon Islands,SLB,1961,5.469.966,11.304.361,30.243.146,14.784.564
South Africa,ZAF,1961,9.947.563,19.752.237,5.723.631,19.369.275
South America,0,1961,10.430.114,14.477.187,43.569.394,16.213.787
South America (FAO),0,1961,105.32,146.2,440.01,1637.47
South Korea,KOR,1961,22.550.604,19.844.531,13.008.392,1.729.991
South-eastern Asia (FAO),0,1961,33.84,124.32,247.41,14.304.299
Southern Africa (FAO),0,1961,92.32,188.08,519.12,18.034.799
Southern Asia (FAO),0,1961,28.76,178.64,269.37,1537.23
Southern Europe (FAO),0,1961,107.72,219.24,646.83,18.642.499
Spain,ESP,1961,10.504.589,21.089.244,639.703,17.054.944
Sri Lanka,LKA,1961,33.669.407,13.916.418,39.496.884,15.279.463
Sudan (former),0,1961,74.151.474,128.584,44.718.887,9.830.514
Suriname,SUR,1961,10.222.889,11.427.852,39.972.824,14.313.009
Sweden,SWE,1961,22.903.659,115.057.625,10.912.496,1406.14
Switzerland,CHE,1961,19.993.501,17.711.137,11.951.447,19.764.274
Taiwan,TWN,1961,60.901.314,1.749.098,32.761.203,18.493.234
Tanzania,TZA,1961,38.008.644,13.024.081,21.546.927,13.682.108
Thailand,THA,1961,47.087.765,12.702.172,2.884.846,15.357.548
Togo,TGO,1961,19.189.753,14.133.405,26.505.847,15.162.379
Trinidad and Tobago,TTO,1961,8.903.681,14.019.498,474.193,15.744.937
Tunisia,TUN,1961,42.134.464,18.380.782,37.486.224,15.210.751
Turkey,TUR,1961,10.338.475,26.899.216,62.465.454,19.572.466
USSR,OWID_USS,1961,14.576.268,23.816.046,6.277.384,20.859.456
Uganda,UGA,1961,4.019.099,1.546.495,27.796.683,15.939.537
United Arab Emirates,ARE,1961,15.235.393,8.946.623,6.127.798,1.154.776
United Kingdom,GBR,1961,21.566.351,15.050.679,12.282.823,16.482.882
United States,USA,1961,26.629.465,13.621.231,10.486.064,15.927.369
Upper-middle-income countries,0,1961,55.897.476,16.589.714,31.222.983,14.629.679
Uruguay,URY,1961,23.643.686,11.138.963,997.355,14.606.484
Vanuatu,VUT,1961,10.814.171,12.148.567,74.809.595,14.507.589
Venezuela,VEN,1961,8.676.671,11.593.731,4.353.796,13.690.251
Vietnam,VNM,1961,3.587.626,14.762.132,18.804.767,15.524.148
Western Africa (FAO),0,1961,30.52,153.2,417.96,13.073.201
Western Asia (FAO),0,1961,82.04,221.52,513.27,1684.21
Western Europe (FAO),0,1961,198.32,156.4,101.385.004,1647.47
World,OWID_WRL,1961,7.811.173,16.607.683,42.480.704,15.122.527
Yemen,YEM,1961,28.643.553,16.414.958,26.564.142,11.867.701
Yugoslavia,OWID_YGS,1961,9.045.776,27.261.902,56.049.854,2.139.531
Zambia,ZMB,1961,43.457.657,1.998.579,3.200.467,15.612.123
Zimbabwe,ZWE,1961,53.050.095,19.414.835,345.112,14.963.147
Afghanistan,AFG,1962,54.959.705,2.833.605,3.450.169,22.899.097
Africa,0,1962,40.812.366,17.206.038,3.638.966,14.597.601
Africa (FAO),0,1962,42.16,170.84,368.46,1443.5
Albania,ALB,1962,69.804.276,17.887.347,3.897.719,14.695.945
Algeria,DZA,1962,36.566.013,13.858.076,22.817.554,11.745.676
Americas (FAO),0,1962,167.72,139.24,701.64,1552.4
Angola,AGO,1962,29.772.858,11.002.525,2.704.741,12.863.702
Antigua and Barbuda,ATG,1962,1.273.794,9.913.833,5.175.304,14.014.875
Argentina,ARG,1962,26.769.235,1.526.892,9.041.911,17.936.421
Asia,0,1962,3.062.138,16.557.439,22.957.692,14.442.493
Asia (FAO),0,1962,30.6,165.32,229.41,14.416.699
Australia,AUS,1962,28.224.707,14.838.931,100.396.326,16.722.744
Austria,AUT,1962,20.244.437,15.694.044,10.329.409,18.051.658
Bahamas,BHS,1962,14.567.511,1.290.079,54.837.946,14.653.242
Bangladesh,BGD,1962,2.211.326,153.695,1.358.554,17.741.578
Barbados,BRB,1962,11.461.537,1.298.551,51.576.917,17.945.958
Belgium-Luxembourg (FAO),0,1962,191.28,160.4,10.431.901,15.131.299
Belize,BLZ,1962,11.853.763,13.305.739,51.291.016,1.482.023
Benin,BEN,1962,27.797.073,1.331.171,31.940.576,12.164.597
Bermuda,BMU,1962,27.278.024,108.232.834,9.785.232,1.379.822
Bolivia,BOL,1962,5.162.971,11.965.903,2.793.556,1.146.684
Botswana,BWA,1962,9.723.806,18.020.416,3.396.668,13.402.018
Brazil,BRA,1962,72.068.855,15.533.249,36.177.847,16.726.827
Brunei,BRN,1962,9.102.319,9.631.658,35.920.215,13.406.646
Bulgaria,BGR,1962,9.321.178,2.662.568,66.564.197,21.751.475
Burkina Faso,BFA,1962,2.050.678,14.499.785,22.290.549,92.901.953
Cambodia,KHM,1962,17.399.168,1.533.874,14.647.769,16.421.818
Cameroon,CMR,1962,3.995.227,1.855.861,29.938.892,16.055.791
Canada,CAN,1962,22.923.796,13.333.473,96.863.055,15.172.385
Cape Verde,CPV,1962,15.504.918,15.319.666,23.351.013,11.502.938
Caribbean (FAO),0,1962,70.96,123.24,385.65,1489.15
Central African Republic,CAF,1962,2.802.142,960.377,37.853.043,1.478.389
Central America (FAO),0,1962,64.28,170.2,433.44,15.060.801
Chad,TCD,1962,4.494.215,25.553.163,5.258.588,15.268.829
Chile,CHL,1962,87.477.806,16.346.135,45.604.352,16.952.429
China,CHN,1962,15.316.189,15.623.322,14.466.524,12.255.072
China (FAO),0,1962,16.52,155,149.04,1226.44
Colombia,COL,1962,9.203.688,11.125.024,38.384.995,1.656.796
Congo,COG,1962,5.031.092,8.426.119,31.358.875,1.562.394
Costa Rica,CRI,1962,7.527.598,11.538.624,4.075.405,13.964.325
Cote d'Ivoire,CIV,1962,55.951.797,13.881.287,2.730.036,17.983.356
Cuba,CUB,1962,8.663.491,11.425.421,4.470.432,1.508.065
Cyprus,CYP,1962,79.616.844,18.454.184,59.020.306,1476.45
Czechoslovakia,OWID_CZS,1962,16.674.026,19.669.264,97.206.085,20.161.296
Denmark,DNK,1962,17.743.462,13.688.843,11.608.497,16.288.324
Djibouti,DJI,1962,7.097.082,10.564.882,22.599.239,12.576.125
Dominica,DMA,1962,8.094.703,9.949.317,36.362.387,1.277.143
Dominican Republic,DOM,1962,60.240.463,10.041.418,33.794.778,13.572.704
East Timor,TLS,1962,1.448.981,12.290.617,33.132.578,12.785.864
Eastern Africa (FAO),0,1962,43.76,178.12,264.6,1506.48
Eastern Asia (FAO),0,1962,27.6,161.88,170.46,13.311.001
Eastern Europe (FAO),0,1962,149.96,236.04,686.61,20.863.901
Ecuador,ECU,1962,7.205.527,12.467.946,41.195.245,13.764.491
Egypt,EGY,1962,34.530.594,21.977.412,38.500.986,15.972.787
El Salvador,SLV,1962,50.304.573,12.511.856,33.205.237,11.107.487
Eswatini,SWZ,1962,88.874.466,1.755.595,35.842.725,15.929.591
Ethiopia (former),OWID_ERE,1962,45.291.275,1.869.746,23.812.317,12.743.379
Europe,0,1962,16.274.184,20.510.782,8.324.452,1.897.302
Europe (FAO),0,1962,163,204.16,834.48,1889.4
European Union (27),0,1962,16.325.009,1.877.901,88.087.866,17.897.129
European Union (27) (FAO),0,1962,163.72,186.64,883.8,1778.84
Fiji,FJI,1962,5.359.532,15.632.626,5.320.855,18.578.396
Finland,FIN,1962,21.077.237,15.885.976,10.850.015,16.983.467
France,FRA,1962,23.361.383,18.395.679,99.304.016,18.723.167
French Polynesia,PYF,1962,119.562.904,13.534.143,5.690.441,15.889.626
Gabon,GAB,1962,117.452.156,8.786.645,21.617.122,14.431.067
Gambia,GMB,1962,39.789.165,1.559.197,42.831.546,12.671.976
Germany,DEU,1962,1.830.781,14.171.973,10.571.705,15.470.802
Ghana,GHA,1962,43.793.655,11.102.178,2.751.993,14.579.783
Greece,GRC,1962,117.391.075,21.259.117,7.807.513,16.335.249
Grenada,GRD,1962,7.159.206,10.039.741,4.105.913,11.536.318
Guatemala,GTM,1962,42.259.228,16.212.103,29.592.517,13.563.262
Guinea,GIN,1962,14.183.237,15.966.273,36.972.656,14.238.451
Guinea-Bissau,GNB,1962,29.106.924,10.628.636,48.638.855,1.102.463
Guyana,GUY,1962,80.571.785,13.518.677,4.001.869,16.469.158
Haiti,HTI,1962,22.110.888,15.231.061,23.559.428,15.217.043
High-income countries,0,1962,18.046.545,16.859.245,83.501.324,17.192.703
Honduras,HND,1962,48.783.455,14.405.878,28.323.337,13.232.025
Hong Kong,HKG,1962,11.775.087,1.581.959,7.171.969,1.657.371
Hungary,HUN,1962,1.519.138,21.544.139,8.050.231,18.819.099
Iceland,ISL,1962,37.361.392,119.415.215,12.541.306,15.862.743
India,IND,1962,24.328.756,1.857.723,28.515.146,1.560.868
Indonesia,IDN,1962,1.998.751,11.964.579,24.936.514,14.342.136
Iran,IRN,1962,54.967.518,14.619.804,26.402.213,13.223.822
Iraq,IRQ,1962,5.522.288,15.824.269,34.321.475,13.552.377
Ireland,IRL,1962,23.078.506,18.184.654,10.357.211,19.469.089
Israel,ISR,1962,18.133.061,21.748.293,7.945.196,18.966.403
Italy,ITA,1962,12.092.157,21.235.397,7.717.765,19.209.921
Jamaica,JAM,1962,997.969,121.535.225,41.022.626,13.826.875
Japan,JPN,1962,10.281.435,19.239.012,32.139.764,19.018.597
Jordan,JOR,1962,62.509.212,35.076.727,7.373.194,29.303.955
Kenya,KEN,1962,657.009,2.207.088,32.963.937,1707.46
Kiribati,KIR,1962,6.747.567,8.497.355,75.604.834,8.646.116
Kuwait,KWT,1962,11.451.205,15.447.787,57.174.536,14.215.154
Land Locked Developing Countries (FAO),0,1962,46.28,181.84,306.99,1515.85
Laos,LAO,1962,24.142.426,17.243.448,16.404.059,15.619.829
Least Developed Countries (FAO),0,1962,36.44,161.44,257.4,1492.72
Lebanon,LBN,1962,780.487,18.308.018,574.401,16.462.819
Lesotho,LSO,1962,50.850.185,23.037.695,25.361.021,17.176.772
Liberia,LBR,1962,346.858,11.797.091,28.712.787,15.815.548
Low Income Food Deficit Countries (FAO),0,1962,30.76,177.92,294.21,15.300.701
Low-income countries,0,1962,39.457.626,17.689.957,28.341.492,15.111.538
Lower-middle-income countries,0,1962,31.552.286,17.092.128,2.914.445,15.103.057
Macao,MAC,1962,6.420.717,16.732.776,58.626.984,17.436.332
Madagascar,MDG,1962,79.025.856,1.711.559,3.048.527,18.513.671
Malawi,MWI,1962,13.923.611,22.126.096,33.857.123,13.835.227
Malaysia,MYS,1962,60.527.496,14.361.676,45.678.165,18.872.565
Maldives,MDV,1962,27.942.333,981.494,26.473.996,11.438.501
Mali,MLI,1962,5.751.706,13.583.572,29.480.334,11.221.699
Malta,MLT,1962,117.261.696,20.442.673,67.273.883,16.580.977
Mauritania,MRT,1962,18.357.625,16.822.694,5.252.423,1.393.546
Mauritius,MUS,1962,4.944.245,14.659.668,41.533.432,17.584.814
Mexico,MEX,1962,7.099.151,19.208.212,50.192.914,16.717.328
Micronesia (FAO),0,1962,95.48,120.24,10.698.301,1223.45
Middle Africa (FAO),0,1962,40.2,159.04,34.577.997,1498.98
Mongolia,MNG,1962,20.565.938,9.296.454,7.158.617,870.532
Morocco,MAR,1962,3.695.767,18.668.039,33.517.328,1.615.973
Mozambique,MOZ,1962,19.481.796,13.280.992,2.226.201,17.232.144
Myanmar,MMR,1962,3.215.798,12.076.054,27.019.824,10.661.182
Namibia,NAM,1962,11.141.665,16.458.809,44.355.255,15.997.323
Nepal,NPL,1962,29.578.527,14.190.962,21.984.772,12.568.352
Net Food Importing Developing Countries (FAO),0,1962,44.96,162.44,297.54,1494.1
Netherlands,NLD,1962,21.164.528,14.133.546,11.221.436,15.422.725
New Caledonia,NCL,1962,14.319.666,13.016.837,7.908.674,16.350.704
New Zealand,NZL,1962,264.964,12.999.136,10.051.217,15.518.267
Nicaragua,NIC,1962,7.629.551,14.076.164,29.590.314,14.162.999
Niger,NER,1962,46.442.394,12.819.165,2.461.884,11.183.895
Nigeria,NGA,1962,18.435.871,16.954.562,5.418.758,1.308.957
North America,0,1962,2.108.094,14.220.805,874.689,15.696.935
North Korea,PRK,1962,46.901.222,1.947.395,19.386.229,14.222.611
Northern Africa (FAO),0,1962,41.36,180.96,359.01,14.066.699
Northern America (FAO),0,1962,248.88,128,980.82,1499.34
Northern Europe (FAO),0,1962,216.76,148.64,1188.72,1590.88
Norway,NOR,1962,209.392,14.387.451,9.990.518,1576.57
Oceania,0,1962,2.649.806,14.403.418,97.443.085,16.450.226
Oceania (FAO),0,1962,266.48,144.84,979.92,16.537.201
Pakistan,PAK,1962,6.074.202,15.686.388,3.083.115,14.110.294
Panama,PAN,1962,88.23,12.311.071,39.286.145,14.342.014
Paraguay,PRY,1962,13.759.958,12.704.611,4.432.462,14.674.998
Peru,PER,1962,7.729.806,13.678.209,31.021.545,15.650.908
Philippines,PHL,1962,56.334.908,9.280.004,25.183.267,12.064.749
Poland,POL,1962,17.118.205,2.175.648,8.005.243,20.995.222
Portugal,PRT,1962,109.421.875,18.375.827,5.044.741,17.796.475
Romania,ROU,1962,95.125.595,25.161.098,53.915.784,19.770.315
Rwanda,RWA,1962,10.123.976,17.527.379,10.791.416,16.112.854
Saint Kitts and Nevis,KNA,1962,46.045.757,8.362.586,4.129.211,10.971.661
Saint Lucia,LCA,1962,67.409.615,8.278.167,3.643.119,11.981.871
Saint Vincent and the Grenadines,VCT,1962,617.917,10.618.426,38.719.754,13.303.301
Samoa,WSM,1962,82.002.945,9.238.844,67.860.913,10.590.889
Sao Tome and Principe,STP,1962,25.330.132,14.800.455,60.082.666,12.737.871
Saudi Arabia,SAU,1962,31.426.352,15.046.437,24.493.837,12.809.552
Senegal,SEN,1962,57.573.032,18.175.244,44.889.514,15.526.691
Sierra Leone,SLE,1962,28.085.306,12.277.078,50.377.554,1.069.039
Small Island Developing States (FAO),0,1962,70.36,124.04,393.21,1481.43
Solomon Islands,SLB,1962,61.169.056,112.428.444,31.656.592,14.668.186
South Africa,ZAF,1962,9.768.586,18.796.048,56.422.687,18.874.662
South America,0,1962,10.525.852,143.989,4.530.727,16.325.259
South America (FAO),0,1962,106.24,145.36,457.29,1648.11
South Korea,KOR,1962,2.179.179,1.963.207,12.573.084,17.759.922
South-eastern Asia (FAO),0,1962,34.36,126.08,253.8,1445.76
Southern Africa (FAO),0,1962,91.68,179.84,513.63,1766.89
Southern Asia (FAO),0,1962,28.76,179.28,275.49,1564.47
Southern Europe (FAO),0,1962,110.76,221.68,709.11,18.834.502
Spain,ESP,1962,10.751.394,21.550.821,7.181.539,17.487.428
Sri Lanka,LKA,1962,3.315.324,13.810.484,42.067.465,15.260.787
Sudan (former),0,1962,7.408.238,15.025.447,48.438.324,11.371.931
Suriname,SUR,1962,9.234.556,11.360.037,4.094.214,14.366.804
Sweden,SWE,1962,2.204.868,11.757.698,10.684.438,14.069.873
Switzerland,CHE,1962,20.139.326,15.388.815,12.284.397,18.548.123
Taiwan,TWN,1962,6.398.335,1.690.443,3.040.736,18.164.625
Tanzania,TZA,1962,37.217.163,12.963.777,215.715,1.381.933
Thailand,THA,1962,49.758.686,1.370.113,29.327.374,1645.71
Togo,TGO,1962,1.946.738,1.588.765,33.808.035,15.588.363
Trinidad and Tobago,TTO,1962,9.076.333,14.630.745,46.467.792,1.652.188
Tunisia,TUN,1962,41.220.093,1.892.202,42.998.477,15.438.115
Turkey,TUR,1962,10.192.408,264.907,5.900.364,19.457.185
USSR,OWID_USS,1962,1.528.122,23.980.746,66.180.255,21.053.113
Uganda,UGA,1962,3.887.018,15.451.166,2.757.791,15.712.544
United Arab Emirates,ARE,1962,14.594.632,92.212.074,5.958.133,11.975.344
United Kingdom,GBR,1962,22.047.606,15.260.945,12.438.394,15.935.796
United States,USA,1962,2.648.059,13.459.912,10.370.192,15.811.385
Upper-middle-income countries,0,1962,5.858.828,17.210.576,32.711.636,15.166.401
Uruguay,URY,1962,22.696.689,1.087.625,9.620.479,14.222.495
Vanuatu,VUT,1962,11.021.385,12.285.744,78.885.205,14.799.153
Venezuela,VEN,1962,8.730.154,112.394.196,4.405.778,1.328.492
Vietnam,VNM,1962,37.770.763,15.278.336,19.274.019,16.024.034
Western Africa (FAO),0,1962,30.12,156.32,440.73,13.298.301
Western Asia (FAO),0,1962,82.2,221.8,496.35,1703.65
Western Europe (FAO),0,1962,201.76,156.12,1043.1,1659.02
World,OWID_WRL,1962,7.948.824,16.902.672,43.661.923,15.424.036
