gender,absences,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,n_sikap,organization,extracurricular,origin_jhs,address,parent_status,father_edu,father_work,father_salary,mother_edu,mother_work,mother_salary,scholarship,family_size,house_status,final_score
P,2,95,84,91,85,82,85,91,86,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Lainnya,Sangat Rendah,SMA sederajat,Buruh,Rendah,Tidak,4,Menumpang,BAIK
P,2,83,83,91,83,83,87,91,84,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
L,2,94,82,83,78,78,86,88,85,B,ya,tidak,swasta,kota,Kawin,SMA sederajat,Lainnya,Cukup Tinggi,SD sederajat,Pedagang Kecil,Rendah,Tidak,4,Rumah Sendiri,CUKUP
P,2,95,82,95,86,85,88,88,88,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,2,95,82,91,84,85,86,89,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Lainnya,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,3,96,84,90,90,85,87,90,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,3,89,83,85,80,80,86,91,85,B,tidak,tidak,negeri,kota,Kawin,D1,Wiraswasta,Cukup Tinggi,S1,Karyawan Swasta,Cukup Tinggi,Tidak,5,Rumah Sendiri,CUKUP
P,3,90,82,80,82,80,90,89,87,B,tidak,tidak,negeri,kabupaten,Kawin,D3,Wirausaha,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,1,96,81,91,85,82,90,90,88,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,1,93,82,91,86,84,86,88,87,A,tidak,tidak,negeri,kota,Kawin,S1,Wiraswasta,Cukup Rendah,S1,Karyawan Swasta,Cukup Tinggi,Tidak,4,Sewa,BAIK
P,0,86,82,88,80,81,85,89,84,B,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Rendah,SMA sederajat,Wiraswasta,Tinggi,Tidak,5,Sewa,CUKUP
P,0,94,85,88,86,87,86,89,87,A,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,BAIK
P,2,91,82,92,87,86,90,89,88,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Sewa,BAIK
P,3,90,84,85,85,86,89,91,87,A,tidak,tidak,negeri,kota,Kawin,S1,Karyawan Swasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,0,95,83,94,85,82,88,91,86,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,BAIK
P,4,94,83,85,82,81,88,89,86,B,tidak,tidak,swasta,kabupaten,Kawin,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,SD sederajat,Pedagang Kecil,Cukup Rendah,Tidak,7,Menumpang,BAIK
P,2,85,82,92,85,81,86,90,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Buruh,Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Sewa,BAIK
P,0,95,82,91,88,82,88,90,88,A,tidak,ya,negeri,kota,Kawin,D3,Wiraswasta,Cukup Tinggi,D3,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,2,94,84,92,85,80,86,89,86,A,tidak,tidak,negeri,kota,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Lainnya,Cukup Tinggi,Tidak,3,Menumpang,BAIK
P,1,92,81,91,86,83,89,89,86,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wirausaha,Rendah,SD sederajat,Wirausaha,Rendah,Ya,5,Sewa,BAIK
P,0,83,81,92,80,81,86,88,86,B,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Menumpang,BAIK
P,1,93,81,91,86,79,87,88,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,1,91,82,80,83,79,86,89,84,B,tidak,tidak,negeri,kota,Kawin,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Wiraswasta,Cukup Rendah,Tidak,3,Menumpang,CUKUP
P,3,94,82,85,82,80,88,88,85,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,0,95,82,87,84,81,88,91,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,0,95,82,92,85,80,86,90,87,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Buruh,Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,BAIK
P,4,84,81,91,82,78,84,90,83,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,CUKUP
P,0,95,82,85,86,81,92,90,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,SMA sederajat,Karyawan Swasta,Rendah,Tidak,5,Sewa,BAIK
P,4,84,81,90,85,85,90,88,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,BAIK
P,1,94,81,82,80,81,87,89,87,B,tidak,tidak,swasta,kota,Kawin,SD sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,1,81,81,81,82,83,90,89,85,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,3,Rumah Sendiri,CUKUP
P,5,82,81,85,84,81,90,90,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wirausaha,Cukup Tinggi,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,3,84,80,85,85,83,91,89,86,B,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,S1,Wiraswasta,Cukup Tinggi,Tidak,5,Menumpang,BAIK
P,1,95,82,81,85,83,92,90,87,A,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Rendah,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,6,Sewa,BAIK
P,2,95,80,83,87,83,91,89,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,PNSTNIPolri,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,3,95,81,83,78,82,92,90,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,3,Rumah Sendiri,BAIK
L,2,95,81,82,82,83,89,90,87,B,ya,tidak,negeri,kota,Kawin,S2,PNSTNIPolri,Cukup Tinggi,S1,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,4,81,81,86,83,83,90,89,85,B,tidak,tidak,swasta,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,Tidak sekolah,Karyawan Swasta,Cukup Rendah,Tidak,4,Sewa,CUKUP
P,4,82,81,82,82,82,91,90,87,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Petani,Cukup Tinggi,SMP sederajat,Wirausaha,Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,5,85,81,83,81,84,90,90,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
L,2,96,83,85,85,82,89,88,88,A,ya,tidak,negeri,kota,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Menumpang,BAIK
P,3,95,82,90,88,85,91,87,89,A,tidak,tidak,negeri,kabupaten,Kawin,D3,Lainnya,Tinggi,S1,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,2,92,81,79,83,83,87,88,87,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,3,91,80,83,85,82,91,90,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Rendah,SMP sederajat,Buruh,Cukup Tinggi,Tidak,4,Sewa,BAIK
P,2,96,83,91,86,81,90,90,89,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Sewa,BAIK
P,5,94,80,85,83,83,88,90,86,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Lainnya,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Sewa,BAIK
P,2,95,82,87,84,84,91,88,90,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,S1,Lainnya,Cukup Rendah,Tidak,4,Rumah Sendiri,BAIK
P,4,84,83,85,86,81,88,88,88,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,3,95,82,85,86,83,89,90,88,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,3,94,82,88,86,82,89,91,87,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,0,94,81,90,84,84,88,90,87,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Sewa,BAIK
P,0,94,83,82,84,83,88,88,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,1,93,82,81,82,81,89,88,88,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,0,95,81,82,85,83,85,88,87,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Lainnya,Rendah,Tidak,3,Rumah Sendiri,BAIK
P,1,97,81,91,85,83,91,89,88,A,tidak,ya,swasta,kabupaten,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMP sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Menumpang,BAIK
P,2,92,80,87,86,82,88,90,87,A,tidak,ya,negeri,kota,Kawin,SMA sederajat,Buruh,Cukup Rendah,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Sewa,BAIK
P,3,96,81,88,85,81,90,89,89,A,tidak,tidak,negeri,kabupaten,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,BAIK
P,0,84,80,87,85,82,87,89,86,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Karyawan Swasta,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,3,Sewa,BAIK
P,2,83,81,91,88,81,89,88,88,A,tidak,tidak,negeri,kabupaten,Cerai Mati,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Ya,5,Menumpang,BAIK
P,1,96,81,89,85,82,91,87,89,A,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Buruh,Cukup Tinggi,SMP sederajat,Buruh,Cukup Rendah,Tidak,4,Rumah Sendiri,BAIK
P,4,84,81,83,85,85,87,88,87,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,0,95,81,86,84,82,87,89,88,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Buruh,Rendah,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Sewa,BAIK
P,1,94,82,83,86,85,90,90,89,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak sekolah,Wiraswasta,Cukup Rendah,Tidak,3,Rumah Sendiri,BAIK
P,1,94,82,83,81,82,86,88,87,B,tidak,tidak,negeri,kota,Kawin,SD sederajat,Buruh,Cukup Rendah,SD sederajat,Buruh,Cukup Rendah,Tidak,4,Sewa,BAIK
P,5,75,81,83,78,77,85,88,81,C,tidak,tidak,negeri,kota,Kawin,S1,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,CUKUP
P,2,96,82,81,87,85,86,88,90,A,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,4,Rumah Sendiri,BAIK
P,4,81,82,78,81,75,84,89,79,C,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,CUKUP
P,5,95,82,78,88,80,86,90,84,B,tidak,tidak,negeri,kota,Kawin,SMA sederajat,Karyawan Swasta,Cukup Rendah,SD sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Sewa,CUKUP
P,3,92,82,81,88,78,84,89,85,B,tidak,ya,negeri,kabupaten,Kawin,SMA sederajat,Karyawan Swasta,Cukup Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,3,Rumah Sendiri,CUKUP
P,2,84,82,82,86,82,86,87,85,B,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Buruh,Rendah,Tidak,3,Menumpang,CUKUP
P,0,82,82,80,84,80,81,88,84,B,tidak,tidak,swasta,kota,Kawin,S1,Karyawan Swasta,Tinggi,D3,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,CUKUP
P,1,91,81,85,80,80,86,90,84,B,tidak,tidak,swasta,kota,Kawin,SMP sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,5,Rumah Sendiri,CUKUP
P,0,88,82,80,87,81,87,90,86,B,tidak,tidak,swasta,kota,Kawin,D3,Karyawan Swasta,Tinggi,SMA sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,4,Rumah Sendiri,BAIK
P,4,81,82,81,80,80,86,89,84,B,tidak,tidak,negeri,kota,Kawin,SMP sederajat,Wiraswasta,Cukup Tinggi,SMP sederajat,Tidak bekerja,Tidak Berpenghasilan,Tidak,6,Rumah Sendiri,CUKUP
P,0,96,82,83,90,83,92,88,88,A,tidak,tidak,negeri,kota,Cerai Mati,Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,SMA sederajat,Karyawan Swasta,Cukup Tinggi,Tidak,6,Menumpang,BAIK
